frequency_hz,s11_real,s11_imag,rapidfem_air_s11_db,slide12_reference_s11_db,error_db
2.000000000000000000e+08,7.556422664107212972e-01,-4.201269634457682235e-03,-2.433540913724730803e+00,-8.228346456692912980e+00,5.794805542968182621e+00
2.500000000000000000e+08,7.556394895379499044e-01,-5.252137929428650834e-03,-2.433497275185203534e+00,-1.349190726159230103e+01,1.105840998640709749e+01
3.000000000000000000e+08,7.556360880610464292e-01,-6.303374949660461857e-03,-2.433443982898386704e+00,-1.629921259842519987e+01,1.386576861552681272e+01
3.500000000000000000e+08,7.556320573764396809e-01,-7.355055914753312260e-03,-2.433381063931947974e+00,-1.507217847769028829e+01,1.263879741375833987e+01
4.000000000000000000e+08,7.556273919592042532e-01,-8.407256866198205281e-03,-2.433308551060408220e+00,-1.420822397200350018e+01,1.177491542094309196e+01
5.000000000000000000e+08,7.556161299452457403e-01,-1.051352784125901552e-02,-2.433134905821562555e+00,-1.597112860892388397e+01,1.353799370310232142e+01
5.500000000000000000e+08,7.556095172483566769e-01,-1.156775536840246379e-02,-2.433033871711357321e+00,-1.891951006124235235e+01,1.648647618953099681e+01
6.000000000000000000e+08,7.556022374828841315e-01,-1.262281820861539151e-02,-2.432923441496471995e+00,-2.470253718285213296e+01,2.226961374135566274e+01
6.250000000000000000e+08,7.555983440678901708e-01,-1.315068855986803106e-02,-2.432864724160442194e+00,-2.987204724409450662e+01,2.743918251993406443e+01
6.500000000000000000e+08,7.555942796646663018e-01,-1.367879878439966050e-02,-2.432803684540723932e+00,-3.410433070866142202e+01,3.167152702412069942e+01
6.750000000000000000e+08,7.555900426904832434e-01,-1.420715946494566922e-02,-2.432740332824914642e+00,-2.859197287839022295e+01,2.615923254556530964e+01
7.000000000000000000e+08,7.555856314719768818e-01,-1.473578130843523730e-02,-2.432674679872713241e+00,-2.442913385826770778e+01,2.199645917839499276e+01
7.500000000000000000e+08,7.555762791319479144e-01,-1.579385196090273349e-02,-2.432536517287157363e+00,-2.039260717410323309e+01,1.796007065681607529e+01
8.000000000000000000e+08,7.555662072893142289e-01,-1.685309909504989836e-02,-2.432389298622610774e+00,-1.896325459317585072e+01,1.653086529455324083e+01
9.000000000000000000e+08,7.555438348274525762e-01,-1.897548835337347500e-02,-2.432068169831324678e+00,-1.866141732283464449e+01,1.622934915300331937e+01
1.000000000000000000e+09,7.555183531827922572e-01,-2.110370767066442263e-02,-2.431712412428001624e+00,-1.752405949256343121e+01,1.509234708013542914e+01
1.200000000000000000e+09,7.554572187906035685e-01,-2.538092846207644360e-02,-2.430903184486818525e+00,-1.395450568678914927e+01,1.152360250230233163e+01
1.400000000000000000e+09,7.553805458121134464e-01,-2.969199624276729760e-02,-2.429979124558494963e+00,-1.181102362204724443e+01,9.381044497488749911e+00
1.600000000000000000e+09,7.552846508636787970e-01,-3.404544165764125663e-02,-2.428971460814596472e+00,-1.039370078740157410e+01,7.964729326586978075e+00
1.800000000000000000e+09,7.551627923625490180e-01,-3.845136125386045683e-02,-2.427943203389868021e+00,-9.256342957130359039e+00,6.828399753740491462e+00
2.000000000000000000e+09,7.549993918332759124e-01,-4.291938510981627153e-02,-2.427056055115875299e+00,-8.110236220472440749e+00,5.683180165356565894e+00
